"","Date","State","Confirmed"
"1","09/03/20","Maharashtra",2
"2","10/03/20","Maharashtra",5
"3","11/03/20","Maharashtra",2
"4","12/03/20","Maharashtra",11
"5","13/03/20","Maharashtra",14
"6","14/03/20","Maharashtra",14
"7","15/03/20","Maharashtra",32
"8","16/03/20","Maharashtra",32
"9","16/03/20","Odisha",1
"10","17/03/20","Maharashtra",39
"11","17/03/20","Odisha",1
"12","18/03/20","Maharashtra",42
"13","18/03/20","Odisha",1
"14","18/03/20","West Bengal",1
"15","19/03/20","Chhattisgarh",1
"16","19/03/20","Maharashtra",47
"17","19/03/20","Odisha",1
"18","19/03/20","West Bengal",1
"19","20/03/20","Chhattisgarh",1
"20","20/03/20","Gujarat",5
"21","20/03/20","Maharashtra",52
"22","20/03/20","Odisha",2
"23","20/03/20","West Bengal",2
"24","21/03/20","Chhattisgarh",1
"25","21/03/20","Gujarat",7
"26","21/03/20","Madhya Pradesh",4
"27","21/03/20","Maharashtra",63
"28","21/03/20","Odisha",2
"29","21/03/20","West Bengal",3
"30","22/03/20","Chhattisgarh",1
"31","22/03/20","Gujarat",18
"32","22/03/20","Madhya Pradesh",4
"33","22/03/20","Maharashtra",67
"34","22/03/20","Odisha",2
"35","22/03/20","West Bengal",4
"36","23/03/20","Chhattisgarh",1
"37","23/03/20","Gujarat",29
"38","23/03/20","Madhya Pradesh",6
"39","23/03/20","Maharashtra",74
"40","23/03/20","Odisha",2
"41","23/03/20","West Bengal",7
"42","24/03/20","Chhattisgarh",1
"43","24/03/20","Gujarat",33
"44","24/03/20","Madhya Pradesh",7
"45","24/03/20","Maharashtra",89
"46","24/03/20","Odisha",2
"47","24/03/20","West Bengal",9
"48","25/03/20","Chhattisgarh",1
"49","25/03/20","Gujarat",38
"50","25/03/20","Madhya Pradesh",14
"51","25/03/20","Maharashtra",128
"52","25/03/20","Odisha",2
"53","25/03/20","West Bengal",9
"54","26/03/20","Chhattisgarh",6
"55","26/03/20","Gujarat",43
"56","26/03/20","Madhya Pradesh",20
"57","26/03/20","Maharashtra",124
"58","26/03/20","Odisha",2
"59","26/03/20","West Bengal",10
"60","27/03/20","Chhattisgarh",6
"61","27/03/20","Gujarat",43
"62","27/03/20","Madhya Pradesh",20
"63","27/03/20","Maharashtra",130
"64","27/03/20","Odisha",2
"65","27/03/20","West Bengal",10
"66","28/03/20","Chhattisgarh",6
"67","28/03/20","Gujarat",45
"68","28/03/20","Madhya Pradesh",30
"69","28/03/20","Maharashtra",180
"70","28/03/20","Odisha",3
"71","28/03/20","West Bengal",15
"72","29/03/20","Chhattisgarh",7
"73","29/03/20","Gujarat",58
"74","29/03/20","Madhya Pradesh",30
"75","29/03/20","Maharashtra",186
"76","29/03/20","Odisha",3
"77","29/03/20","West Bengal",18
"78","30/03/20","Chhattisgarh",7
"79","30/03/20","Gujarat",69
"80","30/03/20","Madhya Pradesh",47
"81","30/03/20","Maharashtra",198
"82","30/03/20","Odisha",3
"83","30/03/20","West Bengal",22
"84","31/03/20","Chhattisgarh",8
"85","31/03/20","Gujarat",73
"86","31/03/20","Madhya Pradesh",47
"87","31/03/20","Maharashtra",216
"88","31/03/20","Odisha",3
"89","31/03/20","West Bengal",26
"90","01/04/20","Chhattisgarh",9
"91","01/04/20","Gujarat",82
"92","01/04/20","Jharkhand",1
"93","01/04/20","Madhya Pradesh",66
"94","01/04/20","Maharashtra",302
"95","01/04/20","Odisha",4
"96","01/04/20","West Bengal",37
"97","02/04/20","Chhattisgarh",9
"98","02/04/20","Gujarat",87
"99","02/04/20","Jharkhand",1
"100","02/04/20","Madhya Pradesh",99
"101","02/04/20","Maharashtra",335
"102","02/04/20","Odisha",4
"103","02/04/20","West Bengal",53
"104","03/04/20","Chhattisgarh",9
"105","03/04/20","Gujarat",95
"106","03/04/20","Jharkhand",2
"107","03/04/20","Madhya Pradesh",104
"108","03/04/20","Maharashtra",335
"109","03/04/20","Odisha",5
"110","03/04/20","West Bengal",63
"111","04/04/20","Chhattisgarh",9
"112","04/04/20","Gujarat",105
"113","04/04/20","Jharkhand",2
"114","04/04/20","Madhya Pradesh",104
"115","04/04/20","Maharashtra",490
"116","04/04/20","Odisha",5
"117","04/04/20","West Bengal",69
"118","05/04/20","Chhattisgarh",9
"119","05/04/20","Gujarat",122
"120","05/04/20","Jharkhand",3
"121","05/04/20","Madhya Pradesh",165
"122","05/04/20","Maharashtra",490
"123","05/04/20","Odisha",20
"124","05/04/20","West Bengal",80
"125","06/04/20","Chhattisgarh",10
"126","06/04/20","Gujarat",144
"127","06/04/20","Jharkhand",4
"128","06/04/20","Madhya Pradesh",165
"129","06/04/20","Maharashtra",748
"130","06/04/20","Odisha",21
"131","06/04/20","West Bengal",80
"132","07/04/20","Chhattisgarh",10
"133","07/04/20","Gujarat",165
"134","07/04/20","Jharkhand",4
"135","07/04/20","Madhya Pradesh",229
"136","07/04/20","Maharashtra",868
"137","07/04/20","Odisha",42
"138","07/04/20","West Bengal",91
"139","08/04/20","Chhattisgarh",10
"140","08/04/20","Gujarat",165
"141","08/04/20","Jharkhand",4
"142","08/04/20","Madhya Pradesh",229
"143","08/04/20","Maharashtra",1018
"144","08/04/20","Odisha",42
"145","08/04/20","West Bengal",99
"146","09/04/20","Chhattisgarh",10
"147","09/04/20","Gujarat",179
"148","09/04/20","Jharkhand",13
"149","09/04/20","Madhya Pradesh",259
"150","09/04/20","Maharashtra",1135
"151","09/04/20","Odisha",42
"152","09/04/20","West Bengal",103
"153","10/04/20","Chhattisgarh",10
"154","10/04/20","Gujarat",241
"155","10/04/20","Jharkhand",13
"156","10/04/20","Madhya Pradesh",259
"157","10/04/20","Maharashtra",1364
"158","10/04/20","Odisha",44
"159","10/04/20","West Bengal",116
"160","11/04/20","Chhattisgarh",18
"161","11/04/20","Gujarat",308
"162","11/04/20","Jharkhand",17
"163","11/04/20","Madhya Pradesh",443
"164","11/04/20","Maharashtra",1574
"165","11/04/20","Odisha",48
"166","11/04/20","West Bengal",126
"167","12/04/20","Chhattisgarh",25
"168","12/04/20","Gujarat",432
"169","12/04/20","Jharkhand",17
"170","12/04/20","Madhya Pradesh",564
"171","12/04/20","Maharashtra",1761
"172","12/04/20","Odisha",54
"173","12/04/20","West Bengal",134
"174","13/04/20","Chhattisgarh",31
"175","13/04/20","Gujarat",539
"176","13/04/20","Jharkhand",19
"177","13/04/20","Madhya Pradesh",604
"178","13/04/20","Maharashtra",1985
"179","13/04/20","Odisha",54
"180","13/04/20","West Bengal",152
"181","14/04/20","Chhattisgarh",31
"182","14/04/20","Gujarat",617
"183","14/04/20","Jharkhand",24
"184","14/04/20","Madhya Pradesh",730
"185","14/04/20","Maharashtra",2337
"186","14/04/20","Odisha",55
"187","14/04/20","West Bengal",190
"188","15/04/20","Chhattisgarh",33
"189","15/04/20","Gujarat",695
"190","15/04/20","Jharkhand",27
"191","15/04/20","Madhya Pradesh",987
"192","15/04/20","Maharashtra",2687
"193","15/04/20","Odisha",60
"194","15/04/20","West Bengal",213
"195","16/04/20","Chhattisgarh",33
"196","16/04/20","Gujarat",871
"197","16/04/20","Jharkhand",28
"198","16/04/20","Madhya Pradesh",1120
"199","16/04/20","Maharashtra",2919
"200","16/04/20","Odisha",60
"201","16/04/20","West Bengal",231
"202","17/04/20","Chhattisgarh",36
"203","17/04/20","Gujarat",1021
"204","17/04/20","Jharkhand",29
"205","17/04/20","Madhya Pradesh",1308
"206","17/04/20","Maharashtra",3205
"207","17/04/20","Odisha",60
"208","17/04/20","West Bengal",255
"209","18/04/20","Chhattisgarh",36
"210","18/04/20","Gujarat",1272
"211","18/04/20","Jharkhand",33
"212","18/04/20","Madhya Pradesh",1355
"213","18/04/20","Maharashtra",3323
"214","18/04/20","Odisha",60
"215","18/04/20","West Bengal",287
"216","19/04/20","Chhattisgarh",36
"217","19/04/20","Gujarat",1604
"218","19/04/20","Jharkhand",35
"219","19/04/20","Madhya Pradesh",1407
"220","19/04/20","Maharashtra",3651
"221","19/04/20","Odisha",61
"222","19/04/20","West Bengal",310
"223","20/04/20","Chhattisgarh",36
"224","20/04/20","Gujarat",1851
"225","20/04/20","Jharkhand",42
"226","20/04/20","Madhya Pradesh",1485
"227","20/04/20","Maharashtra",4203
"228","20/04/20","Odisha",68
"229","20/04/20","West Bengal",339
"230","21/04/20","Chhattisgarh",36
"231","21/04/20","Gujarat",2066
"232","21/04/20","Jharkhand",46
